Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
21;4400151715;"Stata Journal";journal;"1536867X, 15368734";"SAGE Publications Inc.";No;No;1,699;Q1;123;47;141;742;446;125;3,04;15,79;24,36;0;United Kingdom;Western Europe;"SAGE Publications Inc.";"2002-2025";"Economics and Econometrics (Q1); Mathematics (miscellaneous) (Q1); Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
22;24710;"Annals of Applied Probability";journal;"10505164";"Institute of Mathematical Statistics";No;No;1,641;Q1;98;109;433;4827;967;432;2,25;44,28;18,29;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
23;21100886430;"Forum of Mathematics, Sigma";journal;"20505094";"Cambridge University Press";Yes;No;1,635;Q1;29;197;352;7816;478;352;1,22;39,68;16,59;0;United Kingdom;Western Europe;"Cambridge University Press";"2013-2026";"Algebra and Number Theory (Q1); Analysis (Q1); Computational Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)";"Mathematics"
24;21100898787;"Stochastics and Partial Differential Equations: Analysis and Computations";journal;"2194041X, 21940401";"Springer New York";No;No;1,577;Q1;24;78;131;3066;263;130;2,07;39,31;20,26;0;United States;Northern America;"Springer New York";"2013-2026";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Mathematics"
25;23212;"Annales de l'institut Henri Poincare (B) Probability and Statistics";journal;"02460203";"Institute of Mathematical Statistics";No;No;1,564;Q1;60;91;243;3398;406;242;1,71;37,34;13,47;0;Netherlands;Western Europe;"Institute of Mathematical Statistics";"1997-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
26;19900191610;"Bayesian Analysis";journal;"19316690, 19360975";"International Society for Bayesian Analysis";Yes;Yes;1,543;Q1;70;52;135;2388;300;135;2,02;45,92;28,78;0;United States;Northern America;"International Society for Bayesian Analysis";"2006-2025";"Applied Mathematics (Q1); Statistics and Probability (Q1)";"Mathematics"
27;19700186880;"Wiley Interdisciplinary Reviews: Computational Statistics";journal;"19395108, 19390068";"John Wiley &amp; Sons Inc.";No;No;1,486;Q1;68;42;99;3535;659;99;6,46;84,17;31,36;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"2009-2026";"Statistics and Probability (Q1)";"Mathematics"
28;21100926541;"Information and Inference";journal;"20498772";"Oxford University Press";No;No;1,416;Q1;37;37;145;1843;328;145;1,91;49,81;18,56;0;United States;Northern America;"Oxford University Press";"2012-2026";"Analysis (Q1); Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Numerical Analysis (Q1); Statistics and Probability (Q1)";"Computer Science; Mathematics"
29;21101183576;"Frontiers in Bioinformatics";journal;"26737647";"Frontiers Media SA";Yes;No;1,344;Q1;24;153;311;8012;1589;290;3,51;52,37;35,83;0;Switzerland;Western Europe;"Frontiers Media SA";"2021-2026";"Biochemistry (Q1); Biotechnology (Q1); Computational Mathematics (Q1); Statistics and Probability (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
30;4700152871;"Bernoulli";journal;"13507265";"Bernoulli Society for Mathematical Statistics and Probability";No;No;1,343;Q1;85;135;358;5393;717;358;1,82;39,95;23,51;0;Netherlands;Western Europe;"Bernoulli Society for Mathematical Statistics and Probability";"1995-2026";"Statistics and Probability (Q1)";"Mathematics"
31;23863;"Journal of Computational and Graphical Statistics";journal;"10618600, 15372715";"Taylor and Francis Ltd.";No;No;1,333;Q1;114;165;368;6902;882;357;2,02;41,83;25,95;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Discrete Mathematics and Combinatorics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
32;14567;"Technometrics";journal;"15372723, 00401706";"Taylor and Francis Ltd.";No;No;1,314;Q1;102;75;136;2959;529;134;3,56;39,45;23,37;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1959-2026";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Mathematics"
33;28861;"Biometrics";journal;"0006341X, 15410420";"Oxford University Press";No;No;1,311;Q1;160;158;660;4787;1396;642;1,96;30,30;35,03;0;United States;Northern America;"Oxford University Press";"1946-1951, 1965-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
34;21100836195;"Econometrics and Statistics";journal;"24523062";"Elsevier B.V.";No;No;1,280;Q1;22;70;189;2628;437;183;2,20;37,54;26,43;4;Netherlands;Western Europe;"Elsevier B.V.";"2017-2026";"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
35;21100945714;"Methods, Data, Analyses";journal;"21904936, 18646956";"GESIS - Leibniz Institute for the Social Sciences";Yes;Yes;1,274;Q1;11;11;36;422;169;35;1,67;38,36;37,04;1;Germany;Western Europe;"GESIS - Leibniz Institute for the Social Sciences";"2019-2025";"Applied Mathematics (Q1); Applied Psychology (Q1); Computer Science Applications (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Psychology"
36;21101279750;"Annales Henri Lebesgue";journal;"26449463";"Ecole Normale Superieure de Rennes";Yes;No;1,272;Q1;12;22;110;769;145;110;0,93;34,95;10,26;0;France;Western Europe;"Ecole Normale Superieure de Rennes";"2021-2025";"Algebra and Number Theory (Q1); Analysis (Q1); Geometry and Topology (Q1); Statistics and Probability (Q1)";"Mathematics"
37;28632;"Biostatistics";journal;"14654644, 14684357";"Oxford University Press";No;No;1,240;Q1;100;85;208;3400;463;208;2,32;40,00;48,79;1;United Kingdom;Western Europe;"Oxford University Press";"2003-2026";"Medicine (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics; Medicine"
38;26398;"Electronic Journal of Probability";journal;"10836489";"Institute of Mathematical Statistics";Yes;No;1,214;Q1;58;195;534;7054;647;534;1,12;36,17;20,69;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
39;19900192726;"Electronic Journal of Statistics";journal;"19357524";"Institute of Mathematical Statistics";Yes;No;1,204;Q1;68;140;387;6520;608;387;1,45;46,57;28,65;0;United States;Northern America;"Institute of Mathematical Statistics";"2007-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
40;12773;"British Journal of Mathematical and Statistical Psychology";journal;"00071102, 20448317";"Wiley-Blackwell";No;No;1,203;Q1;69;62;90;3396;236;87;2,34;54,77;33,13;0;United States;Northern America;"Wiley-Blackwell";"1965-2026";"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Statistics and Probability (Q1)";"Arts and Humanities; Mathematics; Medicine; Psychology"
41;21101306833;"SIAM Journal on Mathematics of Data Science";journal;"25770187";"Society for Industrial and Applied Mathematics Publications";No;No;1,171;Q1;33;69;150;3634;464;150;2,62;52,67;19,89;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2019-2026";"Applied Mathematics (Q1); Computational Mathematics (Q1); Statistics and Probability (Q1)";"Mathematics"
42;15424;"Measurement: Journal of the International Measurement Confederation";journal;"02632241";"Elsevier B.V.";No;No;1,145;Q1;164;2871;4479;132472;32610;4471;7,21;46,14;28,26;1;Netherlands;Western Europe;"Elsevier B.V.";"1983-2026";"Applied Mathematics (Q1); Condensed Matter Physics (Q1); Education (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Statistics and Probability (Q1)";"Engineering; Mathematics; Physics and Astronomy; Social Sciences"
43;18111;"Insurance: Mathematics and Economics";journal;"01676687";"Elsevier B.V.";No;No;1,117;Q1;95;93;237;4163;592;235;2,01;44,76;31,16;0;Netherlands;Western Europe;"Elsevier B.V.";"1982-2026";"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
44;12068;"International Statistical Review";journal;"03067734, 17515823";"John Wiley &amp; Sons Inc.";No;No;1,112;Q1;69;45;81;2114;253;76;2,02;46,98;29,35;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"1982, 1985, 1987, 1990, 1992-1994, 1996-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
45;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";"Elsevier B.V.";No;No;1,105;Q1;107;114;271;6401;1227;270;4,18;56,15;37,96;0;Netherlands;Western Europe;"Elsevier B.V.";"2007-2026";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
46;21100897526;"Journal of Causal Inference";journal;"21933685, 21933677";"Walter de Gruyter GmbH";Yes;No;1,104;Q1;18;30;82;1530;200;81;2,52;51,00;27,71;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2018-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
47;20086;"Statistics in Medicine";journal;"02776715, 10970258";"John Wiley and Sons Ltd";No;No;1,102;Q1;237;393;1002;15967;2251;971;1,99;40,63;38,07;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1982-2026";"Epidemiology (Q1); Statistics and Probability (Q1)";"Mathematics; Medicine"
48;13507;"International Journal of Climatology";journal;"10970088, 08998418";"John Wiley and Sons Ltd";No;No;1,079;Q1;211;403;1390;26123;5090;1390;3,26;64,82;32,79;9;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1989-2026";"Statistics and Probability (Q1); Atmospheric Science (Q2)";"Earth and Planetary Sciences; Mathematics"
49;21100830444;"SIAM-ASA Journal on Uncertainty Quantification";journal;"21662525";"Society for Industrial and Applied Mathematics Publications";No;No;1,057;Q1;43;83;155;4318;369;155;2,43;52,02;16,23;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2013-2026";"Applied Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
50;15495;"Finance and Stochastics";journal;"14321122, 09492984";"Springer Verlag";No;No;1,046;Q1;58;30;84;1208;156;81;1,93;40,27;16,18;0;Germany;Western Europe;"Springer Verlag";"2004-2026";"Finance (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
51;14189;"Statistica Sinica";journal;"10170405";"Institute of Statistical Science";No;No;1,031;Q1;93;0;297;0;464;295;1,32;0,00;0,00;0;Taiwan;Asiatic Region;"Institute of Statistical Science";"1996-2024";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
52;23947;"Journal of Multivariate Analysis";journal;"0047259X, 10957243";"Academic Press Inc.";No;No;1,024;Q1;97;84;339;3355;664;336;1,51;39,94;24,17;0;United States;Northern America;"Academic Press Inc.";"1971-2026";"Numerical Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
53;21101046170;"Journal of Statistics and Data Science Education";journal;"26939169";"Taylor and Francis Ltd.";Yes;Yes;1,012;Q1;44;69;112;2835;357;101;3,35;41,09;57,78;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2021-2026";"Education (Q1); Management Science and Operations Research (Q1); Statistics and Probability (Q1)";"Decision Sciences; Mathematics; Social Sciences"
54;21124;"Pharmaceutical Statistics";journal;"15391612, 15391604";"John Wiley and Sons Ltd";No;No;0,986;Q1;53;107;244;3203;439;239;1,92;29,93;32,58;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2004-2026";"Pharmacology (medical) (Q1); Statistics and Probability (Q1); Pharmacology (Q2)";"Mathematics; Medicine; Pharmacology, Toxicology and Pharmaceutics"
55;25802;"Communications in Analysis and Geometry";journal;"19449992, 10198385";"International Press, Inc.";No;No;0,971;Q1;51;37;209;1059;170;209;0,75;28,62;19,48;0;United States;Northern America;"International Press, Inc.";"1996-2025";"Analysis (Q1); Geometry and Topology (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
56;22902;"Oxford Bulletin of Economics and Statistics";journal;"03059049, 14680084";"Wiley-Blackwell Publishing Ltd";No;No;0,971;Q1;93;74;159;3701;342;159;2,18;50,01;22,16;15;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2026";"Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1); Economics and Econometrics (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
57;21101186925;"Mathematical Statistics and Learning";journal;"25202324, 25202316";"European Mathematical Society Publishing House";Yes;Yes;0,961;Q1;11;7;16;297;25;16;1,80;42,43;16,67;0;Germany;Western Europe;"European Mathematical Society Publishing House";"2018-2025";"Computational Theory and Mathematics (Q1); Signal Processing (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
58;14231;"Statistical Methods in Medical Research";journal;"14770334, 09622802";"SAGE Publications Ltd";No;No;0,948;Q1;113;148;421;5803;1007;419;2,55;39,21;40,08;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2026";"Statistics and Probability (Q1); Epidemiology (Q2); Health Information Management (Q2)";"Health Professions; Mathematics; Medicine"
59;21101021638;"Stochastic Systems";journal;"19465238";"INFORMS Inst.for Operations Res.and the Management Sciences";Yes;Yes;0,946;Q1;11;11;50;466;79;49;1,58;42,36;24,14;0;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"2019-2025";"Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
60;12140;"Journal of Time Series Analysis";journal;"01439782, 14679892";"Wiley-Blackwell";No;No;0,945;Q1;64;115;128;4443;209;116;1,27;38,63;21,66;2;United States;Northern America;"Wiley-Blackwell";"1980-2026";"Applied Mathematics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
61;26929;"Stochastic Processes and their Applications";journal;"03044149";"Elsevier B.V.";No;No;0,940;Q1;93;184;549;6559;763;548;1,35;35,65;22,02;0;Netherlands;Western Europe;"Elsevier B.V.";"1973-2026";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Mathematics"
62;28461;"Computational Statistics and Data Analysis";journal;"01679473";"Elsevier B.V.";No;No;0,926;Q1;145;121;447;5355;915;444;1,87;44,26;34,33;0;Netherlands;Western Europe;"Elsevier B.V.";"1983-2026";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q1)";"Computer Science; Mathematics"
63;21100211345;"Annals of Applied Statistics";journal;"19417330, 19326157";"Institute of Mathematical Statistics";No;No;0,915;Q1;96;160;457;8088;807;457;1,67;50,55;32,42;0;United States;Northern America;"Institute of Mathematical Statistics";"2007-2025";"Modeling and Simulation (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
64;13734;"Biometrical Journal";journal;"03233847, 15214036";"John Wiley and Sons Inc";No;No;0,905;Q1;83;82;317;3162;653;309;2,28;38,56;36,12;0;Germany;Western Europe;"John Wiley and Sons Inc";"1959, 1964, 1966-1967, 1970, 1977-2026";"Medicine (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics; Medicine"
65;21100206605;"Spatial Statistics";journal;"22116753";"Elsevier B.V.";No;No;0,893;Q1;45;72;237;2997;724;232;3,01;41,63;24,75;0;Netherlands;Western Europe;"Elsevier B.V.";"2012-2026";"Computers in Earth Sciences (Q1); Statistics and Probability (Q1); Management, Monitoring, Policy and Law (Q2)";"Earth and Planetary Sciences; Environmental Science; Mathematics"
66;13530;"Journal of the Royal Statistical Society. Series A: Statistics in Society";journal;"09641998, 1467985X";"Oxford University Press";No;No;0,890;Q1;101;95;302;2884;523;254;1,63;30,36;31,02;3;United Kingdom;Western Europe;"Oxford University Press";"1988-2026";"Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1); Economics and Econometrics (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
67;21100379294;"Operations Research Perspectives";journal;"22147160";"Elsevier Ltd";Yes;No;0,888;Q1;41;49;88;2736;513;87;4,06;55,84;21,80;0;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2026";"Control and Optimization (Q1); Statistics and Probability (Q1); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
68;28070;"Combinatorics Probability and Computing";journal;"09635483, 14692163";"Cambridge University Press";No;No;0,885;Q1;61;60;144;1593;156;144;1,04;26,55;21,71;0;United Kingdom;Western Europe;"Cambridge University Press";"1992-2026";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
69;21100209501;"Statistics in Biopharmaceutical Research";journal;"19466315";"Taylor and Francis Ltd.";No;No;0,874;Q1;29;83;218;2428;284;169;1,36;29,25;34,33;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2026";"Pharmaceutical Science (Q1); Statistics and Probability (Q1)";"Mathematics; Pharmacology, Toxicology and Pharmaceutics"
70;13631;"American Statistician";journal;"00031305, 15372731";"Taylor and Francis Ltd.";No;No;0,867;Q1;108;61;153;2364;407;128;1,91;38,75;22,76;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1947-2026";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
71;21100934093;"Journal of Econometric Methods";journal;"21566674";"Walter de Gruyter GmbH";No;No;0,859;Q1;16;6;28;84;69;28;1,00;14,00;12,50;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2013, 2015-2026";"Applied Mathematics (Q1); Statistics and Probability (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Mathematics"
72;19010;"Stochastic Environmental Research and Risk Assessment";journal;"14363259, 14363240";"Springer Science and Business Media Deutschland GmbH";No;No;0,840;Q1;96;303;775;19895;3419;774;4,26;65,66;29,63;3;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1996, 1999-2026";"Safety, Risk, Reliability and Quality (Q1); Statistics and Probability (Q1); Water Science and Technology (Q1); Environmental Chemistry (Q2); Environmental Engineering (Q2); Environmental Science (miscellaneous) (Q2)";"Engineering; Environmental Science; Mathematics"
